Code,Abbreviation,Subject Area
425,GNS,"German, Nordic, and Slavic"
428,GREEK,Greek (Classics)
436,OBS&GYN,Obstetrics and Gynecology
441,HEBR-BIB,Hebrew-Biblical
442,HEBR-MOD,Hebrew-Modern
448,HISTORY,History
452,MED HIST,Medical History and Bioethics
456,HIST SCI,History of Science
476,HORT,Horticulture
480,H ONCOL,Human Oncology
490,I SY E,Industrial and Systems Engineering
494,INTER-AG,Interdisciplinary Courses (CALS)
495,INTEGART,Integrated Arts
496,INTEREGR,Interdisciplinary Courses (Engineering)
498,INTER-HE,Interdisciplinary Courses (SOHE)
500,ILS,Integrated Liberal Studies
502,INTER-LS,Interdisciplinary Courses (L&S)
503,INTEGSCI,Integrated Science
504,INTL ST,International Studies
508,ITALIAN,Italian (French and Italian)
510,JEWISH,Jewish Studies
512,JOURN,Journalism and Mass Communication
520,LAND ARC,Landscape Architecture
524,LATIN,Latin (Classics)
525,LACIS,"Latin American, Caribbean, and Iberian Studies"
528,LAW,Law
535,LEGAL ST,Legal Studies
544,L I S,Library and Information Studies
550,LINGUIS,Linguistics
551,LITTRANS,Literature in Translation
600,MATH,Mathematics
604,AN SCI,Animal Sciences
612,M E,Mechanical Engineering
616,MD GENET,Medical Genetics
620,M M & I,Medical Microbiology and Immunology
621,MED PHYS,Medical Physics
622,MED SC-M,Medical Sciences - Medical School
623,MED SC-V,Medical Sciences - Veterinary Medicine
632,MEDICINE,Medicine
633,MEDIEVAL,Medieval Studies
636,M S & E,Materials Science and Engineering
640,ATM OCN,Atmospheric and Oceanic Sciences
644,MIL SCI,Military Science
650,MOL BIOL,Molecular Biology
660,MUSIC,Music
664,MUS PERF,Music-Performance
672,NAV SCI,Naval Science
676,NEUROL,Neurology
678,NEURSURG,Neurological Surgery
681,NEURODPT,Neuroscience
682,NTP,Neuroscience Training Program
684,N E,Nuclear Engineering
691,CNP,Collaborative Nursing Program
692,NURSING,Nursing
694,NUTR SCI,Nutritional Sciences
695,OCC THER,Occupational Therapy (Department of Kinesiology)
700,ONCOLOGY,Oncology
702,OPHTHALM,Ophthalmology and Visual Sciences
703,PATH-BIO,Patho-Biological Sciences
704,PATH,Pathology and Laboratory Medicine
708,PEDIAT,Pediatrics
718,PHM SCI,Pharmaceutical Sciences
724,PHMCOL-M,Pharmacology
726,PHARMACY,Pharmacy
728,PHM PRAC,Pharmacy Practice
732,S&A PHM,Social and Administrative Pharmacy
736,PHILOS,Philosophy
741,DANCE,Dance
742,KINES,Kinesiology
745,PHY THER,Physical Therapy
750,PHY ASST,Physician Assistant Program
754,PHYSICS,Physics
758,BMOLCHEM,Biomolecular Chemistry
762,PHYSIOL,Physiology
766,PL PATH,Plant Pathology
778,POLI SCI,Political Science
782,PORTUG,Portuguese (Spanish and Portuguese)
810,POP HLTH,Population Health Sciences
814,PSYCHIAT,Psychiatry
820,PSYCH,Psychology
826,PUB AFFR,La Follette School of Public Affairs
828,PUBLHLTH,Public Health
832,RADIOL,Radiology
840,RHAB MED,Rehabilitation Medicine
856,RELIG ST,Religious Studies
864,C&E SOC,Community and Environmental Sociology
872,SCAND ST,Scandinavian Studies
875,STS,Science and Technology Studies
882,SR MED,Senior Medical Program
888,SLAVIC,Slavic (Slavic Languages)
896,SOC WORK,Social Work
900,SOC,Sociology
908,SOIL SCI,Soil Science
912,SPANISH,Spanish (Spanish and Portuguese)
932,STAT,Statistics
934,COMP BIO,Comparative Biosciences
936,SURGERY,Surgery
938,SURG SCI,Surgical Sciences
942,THEATRE,Theatre and Drama
944,URB R PL,Urban and Regional Planning
963,GEN&WS,Gender and Women’s Studies
970,ZOOLOGY,Zoology
